episode,reward,crashed,length
1,2.84437240578972,1,5
2,21.248110855569003,0,30
3,9.091131550514069,1,13
4,25.08189136501506,1,28
5,3.9572063683176055,1,5
6,14.621604243297377,1,21
7,16.846306673754558,1,20
8,11.55856054637227,1,13
9,1.9583725634928275,1,3
10,6.12965895951264,1,9
11,1.9602091714909529,1,3
12,2.5682892715232106,1,4
13,3.754707248874702,1,5
14,1.5982070401394535,1,3
15,17.696495478641417,1,23
16,16.121384714795006,1,20
17,15.613422616152302,1,22
18,12.129703129022325,1,17
19,10.199638813077941,1,12
20,6.160643945267552,1,8
21,6.823027931230133,1,10
22,8.591996911249582,1,10
23,1.7649228101313175,1,3
24,9.359254852498857,1,13
25,21.60761283164155,0,30
26,4.293353971782731,1,7
27,23.382528331937635,0,30
28,4.4759851695365285,1,6
29,8.17969614736433,1,12
30,9.601675701578566,1,12
31,1.602272727272727,1,3
32,7.382694208074453,1,11
33,13.386776857836848,1,18
34,14.057874745758639,1,19
35,1.925144218813404,1,3
36,6.190859152726834,1,8
37,4.790702039089065,1,6
38,15.412292944312414,1,20
39,4.639689771062186,1,7
40,9.157652478878372,1,11
41,2.9573710298187494,1,4
42,5.207016582623725,1,8
43,14.149507080847986,1,19
44,2.401190587607902,1,4
45,20.40107430623146,1,29
46,10.408724638793338,1,13
47,7.211305006400463,1,10
48,22.08862707482605,0,30
49,5.888681868721731,1,9
50,21.88009836553496,0,30
51,17.763253058650438,1,26
52,12.284177635091622,1,16
53,16.60840037537327,1,19
54,21.69584474364209,0,30
55,20.74439318836118,0,30
56,1.7649228101313175,1,3
57,5.362951500861982,1,7
58,6.193956784008504,1,7
59,4.1965024691176644,1,6
60,1.7649228101313175,1,3
61,16.16597539423031,1,20
62,6.139777483016624,1,9
63,7.399350043055848,1,10
64,12.705460479135574,1,18
65,7.731733328726546,1,11
66,4.409271380522973,1,7
67,0.8496688366553268,1,2
68,5.475956188347939,1,7
69,8.770334314000143,1,12
70,9.953975875061282,1,11
71,6.756617425672542,1,8
72,5.199291611129861,1,7
73,5.99761533520589,1,8
74,9.856338360128914,1,14
75,2.9592167598122607,1,4
76,15.55157572828076,1,21
77,18.35750914534078,1,22
78,7.483547859602761,1,10
79,3.5284090909090904,1,6
80,5.999403440997081,1,8
81,17.4963303309142,1,23
