episode,reward,crashed,length
1,3.959047317504883,1,5
2,5.40037202835083,1,7
3,11.968419075012207,1,16
4,16.559099197387695,1,23
5,21.93547821044922,0,30
6,11.04931354522705,1,14
7,15.375664710998535,1,21
8,6.961648464202881,1,9
9,9.390628814697266,1,11
10,10.358351707458496,1,12
11,21.48161506652832,1,28
12,1.001855492591858,1,2
13,6.760149955749512,1,8
14,1.7671529054641724,1,3
15,2.2510998249053955,1,4
16,16.736339569091797,1,20
17,24.14232063293457,0,30
18,11.778788566589355,1,17
19,15.540877342224121,1,20
20,9.611458778381348,1,12
21,1.5974290370941162,1,3
22,24.65975570678711,0,30
23,2.925072431564331,1,5
24,6.000063419342041,1,8
25,16.138044357299805,1,22
26,6.539867877960205,1,10
27,2.403409004211426,1,4
28,14.010298728942871,1,17
29,3.0514132976531982,1,5
30,6.15968656539917,1,8
31,12.724363327026367,1,18
32,11.766319274902344,1,16
33,4.559259414672852,1,6
34,5.8050713539123535,1,7
35,19.983972549438477,1,26
36,4.603252410888672,1,6
37,5.644715309143066,1,8
38,2.7595088481903076,1,4
39,12.107136726379395,1,17
40,9.151238441467285,1,14
41,4.758334159851074,1,6
42,2.456439256668091,1,4
43,3.6011106967926025,1,5
44,8.01418399810791,1,11
45,10.543228149414062,1,16
46,7.94423246383667,1,12
47,7.5570292472839355,1,9
48,4.195340156555176,1,5
49,7.738635540008545,1,12
50,21.37050437927246,0,30
51,22.278451919555664,0,30
52,3.75628924369812,1,5
53,8.19858455657959,1,10
54,12.728736877441406,1,19
55,8.418367385864258,1,12
56,21.213090896606445,0,30
57,18.889806747436523,1,24
58,18.814964294433594,1,25
59,8.559464454650879,1,10
60,3.959047317504883,1,5
61,6.388129711151123,1,8
62,8.409690856933594,1,12
63,4.995011329650879,1,7
64,21.9659481048584,0,30
65,6.193039894104004,1,8
66,7.612608909606934,1,11
67,1.9583725929260254,1,3
68,10.021909713745117,1,14
69,23.188867568969727,0,30
70,14.237995147705078,1,20
71,25.7141056060791,0,30
72,11.604928970336914,1,14
73,7.400170803070068,1,10
74,16.078458786010742,1,18
75,1.7671529054641724,1,3
76,4.2735137939453125,1,5
77,7.000630855560303,1,9
78,21.898130416870117,1,28
79,22.397775650024414,1,26
80,10.364057540893555,1,13
81,12.04867172241211,1,17
82,12.494444847106934,1,18
83,3.79231333732605,1,5
84,18.905757904052734,1,26
85,5.850508689880371,1,7
86,9.214688301086426,1,13
87,9.701202392578125,1,14
88,1.2783910036087036,1,2
89,7.353893756866455,1,9
90,6.6079254150390625,1,9
91,20.6569766998291,0,30
92,4.281079292297363,1,6
93,2.566053628921509,1,4
94,4.295591354370117,1,7
95,19.645427703857422,1,24
96,4.293372631072998,1,7
97,21.926427841186523,0,30
98,1.9602091312408447,1,3
99,3.389415979385376,1,5
100,8.948951721191406,1,14
101,5.360390663146973,1,7
102,8.698066711425781,1,13
103,6.807070732116699,1,10
104,1.9602091312408447,1,3
105,4.163885593414307,1,6
106,8.492133140563965,1,11
107,14.812578201293945,1,19
108,21.05705451965332,0,30
109,25.380849838256836,0,30
110,15.09386920928955,1,21
111,2.04819655418396,1,3
112,8.613384246826172,1,11
113,21.281789779663086,0,30
114,6.557234764099121,1,8
115,22.286794662475586,0,30
116,15.485641479492188,1,19
117,9.538558006286621,1,14
118,15.044719696044922,1,22
119,18.20133399963379,1,22
120,5.970705509185791,1,8
121,15.340086936950684,1,22
122,15.185669898986816,1,22
123,7.139922142028809,1,11
124,15.817727088928223,1,21
125,14.656769752502441,1,18
126,2.566059112548828,1,4
127,19.907367706298828,1,26
128,19.75223731994629,1,22
129,18.704364776611328,1,24
130,0.9660165309906006,1,2
131,9.261310577392578,1,14
132,4.208008766174316,1,7
133,21.616546630859375,1,28
134,0.9850976467132568,1,2
135,2.7595088481903076,1,4
136,5.772907257080078,1,9
137,2.9859814643859863,1,4
138,11.850103378295898,1,16
139,6.601076126098633,1,8
140,24.063283920288086,0,30
141,6.657332420349121,1,10
142,1.764922857284546,1,3
143,10.695428848266602,1,15
144,7.358346939086914,1,9
145,8.671516418457031,1,12
146,20.341142654418945,1,27
147,1.5982071161270142,1,3
148,13.666337013244629,1,20
149,16.489166259765625,1,22
150,11.986425399780273,1,18
151,5.136435508728027,1,8
152,17.41751480102539,1,23
153,12.48580551147461,1,17
154,0.9660165309906006,1,2
155,0.8011363744735718,1,2
156,21.959442138671875,0,30
157,2.3967478275299072,1,4
158,9.524806022644043,1,13
159,14.964067459106445,1,18
160,12.24561882019043,1,18
161,8.488666534423828,1,12
162,7.439663887023926,1,10
163,9.664772033691406,1,15
164,2.965909242630005,1,5
165,17.716081619262695,1,22
166,23.07810401916504,0,30
167,6.935280799865723,1,11
168,22.377124786376953,0,30
169,5.721602439880371,1,7
170,22.211286544799805,0,30
171,5.846771240234375,1,8
172,23.90322494506836,0,30
173,1.9583725929260254,1,3
174,8.726689338684082,1,12
175,8.756452560424805,1,10
176,19.739788055419922,1,26
177,20.14948844909668,1,22
178,21.66414451599121,0,30
179,5.792283535003662,1,7
180,2.403409004211426,1,4
181,1.2783910036087036,1,2
182,6.221867561340332,1,10
183,21.708988189697266,1,30
184,20.708528518676758,1,30
185,7.0458903312683105,1,10
186,2.4496381282806396,1,4
187,4.472545623779297,1,6
188,10.188740730285645,1,12
189,3.7603533267974854,1,5
190,3.617332696914673,1,6
191,14.082120895385742,1,17
192,8.969785690307617,1,13
193,16.52437400817871,1,24
194,2.7943365573883057,1,4
195,8.555362701416016,1,10
196,7.483887195587158,1,11
197,14.517024993896484,1,22
198,20.466781616210938,1,26
199,1.795328974723816,1,3
200,7.95716667175293,1,9
201,9.807342529296875,1,12
202,4.392524719238281,1,6
203,4.9571685791015625,1,6
204,20.622722625732422,1,28
205,2.2536962032318115,1,4
206,12.842958450317383,1,19
207,3.7829558849334717,1,5
208,11.47966194152832,1,14
209,9.49720573425293,1,13
210,16.633628845214844,1,23
211,21.528852462768555,0,30
212,11.553160667419434,1,17
213,5.0877156257629395,1,8
214,4.955064296722412,1,6
215,21.890892028808594,0,30
216,21.093257904052734,0,30
217,2.2755582332611084,1,3
218,3.36719012260437,1,5
219,5.13068151473999,1,8
220,21.095754623413086,1,26
221,1.6000372171401978,1,3
222,7.992743015289307,1,9
223,21.156147003173828,1,23
224,14.950274467468262,1,22
225,26.517099380493164,0,30
226,18.468969345092773,1,26
227,5.525156497955322,1,8
228,17.204612731933594,1,25
229,1.1962424516677856,1,2
230,21.975868225097656,0,30
231,4.752442359924316,1,6
232,14.835125923156738,1,21
233,3.047799587249756,1,5
234,17.81090545654297,1,21
235,20.60817527770996,1,29
236,1.9602091312408447,1,3
237,8.57766056060791,1,12
238,18.91706085205078,1,26
239,3.112348794937134,1,4
240,11.195850372314453,1,13
241,3.5624818801879883,1,5
242,19.57501220703125,1,25
243,2.7924869060516357,1,4
244,21.782024383544922,0,30
245,11.910036087036133,1,18
246,1.9602091312408447,1,3
247,15.783991813659668,1,21
248,17.12852668762207,1,23
249,20.651121139526367,0,30
250,21.24774169921875,0,30
251,15.56738567352295,1,19
252,4.957177639007568,1,6
253,7.1819071769714355,1,11
254,25.68520164489746,0,30
255,3.9553723335266113,1,5
256,18.387495040893555,1,24
257,3.7585129737854004,1,5
258,1.9973788261413574,1,3
259,2.5942351818084717,1,4
260,17.24544334411621,1,21
261,4.726205348968506,1,6
262,3.1931636333465576,1,4
263,22.28195571899414,0,30
264,17.783281326293945,1,24
265,6.126981258392334,1,9
266,18.740276336669922,1,26
267,10.608078956604004,1,14
268,1.9602091312408447,1,3
269,20.64211082458496,1,24
270,22.27565574645996,1,27
271,15.068013191223145,1,22
272,15.87257194519043,1,23
273,16.77185821533203,1,21
274,2.7924869060516357,1,4
275,19.516952514648438,1,28
276,4.729982376098633,1,7
277,7.535778522491455,1,11
278,14.172513008117676,1,19
279,2.959216833114624,1,4
280,1.9602091312408447,1,3
281,17.52964973449707,1,26
282,0.8496688604354858,1,2
283,4.570940971374512,1,7
284,3.959047317504883,1,5
285,12.09304141998291,1,17
286,10.151345252990723,1,12
287,19.850990295410156,1,26
288,20.610301971435547,1,30
289,6.0154337882995605,1,8
290,22.756074905395508,0,30
291,6.953737735748291,1,8
292,9.206901550292969,1,11
293,7.253566265106201,1,10
294,5.968470096588135,1,8
295,5.062885761260986,1,8
296,5.659203052520752,1,9
297,4.525694370269775,1,6
298,12.099642753601074,1,16
299,2.853067636489868,1,4
300,2.9573709964752197,1,4
301,6.0055460929870605,1,9
302,8.159669876098633,1,10
303,23.627161026000977,0,30
304,7.045040607452393,1,10
305,5.889842510223389,1,9
306,5.79400110244751,1,7
307,11.31695556640625,1,14
308,6.492082118988037,1,10
309,5.401277542114258,1,8
310,8.98444652557373,1,11
311,11.759682655334473,1,16
312,3.79232120513916,1,5
313,8.78404712677002,1,13
314,18.3688907623291,1,22
315,11.732028007507324,1,15
316,19.791322708129883,1,23
317,21.64655113220215,0,30
318,7.389962196350098,1,11
319,16.573354721069336,1,21
320,3.7729921340942383,1,6
321,22.51730728149414,0,30
322,10.201160430908203,1,12
323,2.566059112548828,1,4
324,0.9660165309906006,1,2
325,10.08657169342041,1,13
326,0.9660165309906006,1,2
327,24.614370346069336,0,30
328,5.39912223815918,1,7
329,7.815926551818848,1,12
330,23.26840591430664,0,30
331,1.9602091312408447,1,3
332,3.7274532318115234,1,6
333,3.5154778957366943,1,5
334,21.2097225189209,0,30
335,16.533517837524414,1,22
336,15.450989723205566,1,21
337,18.2430362701416,1,27
338,5.243134498596191,1,7
339,3.762965202331543,1,6
340,21.09345054626465,0,30
341,16.236228942871094,1,20
342,2.4011735916137695,1,4
343,20.20893669128418,1,24
344,21.140926361083984,0,30
345,22.140953063964844,0,30
346,10.860058784484863,1,14
347,11.153692245483398,1,13
348,13.108509063720703,1,17
349,12.346931457519531,1,18
350,3.9572064876556396,1,5
351,16.787559509277344,1,24
352,22.63411521911621,0,30
353,10.20743465423584,1,12
354,21.010181427001953,0,30
355,20.886966705322266,0,30
356,17.353349685668945,1,24
357,3.247250556945801,1,5
358,13.871867179870605,1,20
359,1.9602091312408447,1,3
360,2.4011905193328857,1,4
361,24.766427993774414,0,30
362,2.95578932762146,1,4
363,22.667383193969727,0,30
364,6.010465145111084,1,8
365,4.449968338012695,1,6
366,7.786739826202393,1,9
367,4.562452793121338,1,6
368,20.969263076782227,0,30
369,10.312586784362793,1,16
370,8.12833023071289,1,12
371,4.584087371826172,1,6
372,2.566059112548828,1,4
373,5.75831413269043,1,7
374,1.795328974723816,1,3
