episode,reward,crashed,length
290,1.121128,1,2
291,2.957377,1,4
292,9.805467,1,12
293,11.628466,1,16
294,13.95259,1,16
295,3.597888,1,5
296,9.755037,1,11
297,23.969355,1,28
298,8.044179,1,10
299,21.576655,1,26
300,2.794337,1,4
301,5.591838,1,7
302,8.899072,1,13
303,26.195798,0,30
304,12.823755,1,17
305,2.599059,1,4
306,9.513137,1,13
307,4.800504,1,7
308,1.048632,1,2
309,23.22887,0,30
310,3.758513,1,5
311,3.794167,1,5
312,7.530233,1,9
313,2.759509,1,4
314,2.985178,1,4
315,9.951898,1,11
316,10.324853,1,14
317,7.493173,1,11
318,6.45231,1,10
319,3.957198,1,5
320,12.792387,1,15
321,18.876869,1,22
322,7.553246,1,9
323,7.722079,1,9
324,12.481971,1,18
325,27.122696,0,30
326,4.800545,1,7
327,20.891012,0,30
328,8.664839,1,13
329,5.756074,1,7
330,2.403409,1,4
331,15.799184,1,19
332,21.497944,0,30
333,6.044288,1,7
334,5.55962,1,7
335,4.957177,1,6
336,16.337733,1,22
337,1.960209,1,3
338,10.370637,1,13
339,12.203841,1,14
340,1.764923,1,3
341,19.085183,1,23
342,6.765956,1,8
343,7.354384,1,9
344,4.359125,1,6
345,5.754246,1,7
346,2.075449,1,3
347,14.704925,1,18
348,2.401174,1,4
349,13.407765,1,16
350,5.603511,1,8
351,2.454198,1,4
352,1.960209,1,3
353,23.902612,0,30
354,4.201323,1,6
355,2.757267,1,4
356,5.810923,1,8
357,8.082145,1,10
358,24.743466,0,30
359,13.62963,1,20
360,16.618914,1,20
361,15.890215,1,21
362,6.247315,1,9
363,3.199682,1,5
364,1.960209,1,3
365,16.528038,1,23
366,11.567098,1,14
367,21.296303,0,30
368,3.957206,1,5
369,24.899405,0,30
370,3.957206,1,5
371,10.555626,1,12
372,3.275383,1,4
373,5.957172,1,7
374,5.198408,1,7
375,2.9307,1,5
376,3.19606,1,5
377,3.31941,1,5
378,18.496967,1,23
379,5.597027,1,7
380,8.394563,1,10
381,1.597429,1,3
382,3.486514,1,5
383,5.325289,1,8
384,8.471787,1,13
385,9.758296,1,11
386,9.037009,1,13
387,14.12753,1,19
388,6.753976,1,8
389,16.694797,1,21
390,0.966017,1,2
391,5.156965,1,7
392,4.202157,1,6
393,5.166066,1,7
394,3.999729,1,6
395,8.377724,1,11
396,15.062432,1,22
397,2.727273,1,5
398,20.725114,1,30
399,1.767153,1,3
400,2.957371,1,4
401,4.957172,1,6
402,5.763219,1,8
403,7.392342,1,9
404,10.760092,1,13
405,1.598207,1,3
406,4.19534,1,5
407,20.181421,1,27
408,13.389017,1,15
409,3.959047,1,5
410,2.41598,1,4
411,2.396743,1,4
412,9.68545,1,12
413,2.401191,1,4
414,7.019538,1,10
415,14.363034,1,17
416,2.403409,1,4
417,4.527317,1,7
418,21.72398,0,30
419,9.196256,1,11
420,2.759115,1,4
421,1.922914,1,3
422,8.85525,1,10
423,1.795329,1,3
424,4.788699,1,6
425,2.757291,1,4
426,7.85525,1,9
427,3.196006,1,5
428,3.855952,1,6
429,15.377844,1,21
430,11.359885,1,13
431,13.004698,1,15
432,11.65262,1,16
433,22.561311,0,30
434,10.247583,1,13
435,3.957201,1,5
436,2.959217,1,4
437,5.983931,1,7
438,1.960209,1,3
439,1.795329,1,3
440,6.602002,1,9
441,5.881282,1,8
442,4.157973,1,6
443,17.371742,1,22
444,23.930724,1,30
445,1.278391,1,2
446,6.246788,1,9
447,6.58877,1,10
448,0.801136,1,2
449,4.001212,1,6
450,5.59342,1,7
451,17.841468,1,21
452,26.281666,0,30
453,5.076106,1,6
454,13.651272,1,16
455,4.758343,1,6
456,15.638365,1,18
457,10.211899,1,13
458,14.094978,1,19
459,23.66514,1,30
460,1.925144,1,3
461,14.544159,1,19
462,4.60813,1,7
463,4.955589,1,6
464,23.910665,0,30
465,8.555626,1,10
466,22.05347,0,30
467,1.958373,1,3
468,1.960209,1,3
469,11.733245,1,15
470,12.072263,1,16
471,10.556707,1,12
472,2.794337,1,4
473,11.847465,1,15
474,10.328554,1,14
475,10.752621,1,12
476,3.40935,1,5
477,1.597429,1,3
478,3.957206,1,5
479,3.957198,1,5
480,3.959047,1,5
481,1.784043,1,3
482,1.598207,1,3
483,13.55395,1,15
484,4.758338,1,6
485,1.767153,1,3
486,5.475956,1,7
487,4.957168,1,6
488,4.557414,1,6
489,1.278391,1,2
490,4.959018,1,6
491,17.648589,1,22
492,4.555573,1,6
493,0.966017,1,2
494,4.957168,1,6
495,3.759339,1,5
496,14.639986,1,18
497,16.085132,1,19
498,5.197649,1,6
499,6.251918,1,9
500,11.486424,1,14
501,10.443585,1,13
502,1.767153,1,3
503,3.794167,1,5
504,14.153347,1,16
505,6.959012,1,8
506,13.652912,1,15
507,4.206271,1,6
508,1.124008,1,2
509,3.959047,1,5
510,7.55273,1,9
511,19.655542,1,24
512,14.160456,1,20
513,7.752635,1,9
514,12.962362,1,16
515,1.795329,1,3
516,5.355936,1,7
517,14.79126,1,18
518,8.759539,1,11
519,1.960209,1,3
520,11.382934,1,13
521,8.560214,1,10
522,17.803619,1,20
523,2.919541,1,4
524,12.79902,1,15
525,19.679321,1,23
526,25.180275,1,30
527,2.957377,1,4
528,4.056199,1,6
529,4.955331,1,6
530,8.045719,1,10
531,14.165442,1,17
532,6.392331,1,8
533,5.356705,1,7
534,18.810067,1,23
535,4.526207,1,7
536,3.999409,1,6
537,5.756191,1,7
538,6.166288,1,8
539,6.080361,1,8
540,8.245941,1,11
541,19.115861,1,28
542,5.957164,1,7
543,16.86702,1,24
544,10.810455,1,15
545,5.955059,1,7
546,4.653521,1,7
547,1.98943,1,3
548,7.728833,1,11
549,18.862687,1,28
550,3.790727,1,5
551,5.557244,1,7
552,7.254672,1,11
553,18.194104,1,20
554,7.794132,1,9
555,24.713828,0,30
556,11.649954,1,14
557,9.519519,1,12
558,25.145687,0,30
559,19.937546,1,26
560,4.166119,1,6
561,5.599222,1,7
562,21.043277,1,26
563,4.957172,1,6
564,15.718884,1,18
565,24.189761,1,26
566,5.763192,1,8
567,21.75117,0,30
568,1.278391,1,2
569,18.516876,1,22
570,8.559467,1,10
571,6.693074,1,9
572,2.566054,1,4
573,1.960209,1,3
574,8.758298,1,10
575,16.207269,1,18
576,4.760184,1,6
577,7.483543,1,10
578,13.970346,1,19
579,13.918551,1,16
580,14.283096,1,19
581,6.2052,1,8
582,6.363584,1,8
583,1.960209,1,3
584,13.277776,1,19
585,6.25579,1,9
586,9.652306,1,11
587,5.955058,1,7
588,10.138741,1,14
589,4.090909,1,7
590,4.957177,1,6
591,16.359955,1,19
592,4.959018,1,6
593,9.048738,1,10
594,0.854167,1,2
595,6.256782,1,9
596,7.55905,1,9
597,9.756069,1,11
598,19.171309,1,26
599,4.760184,1,6
600,2.959217,1,4
601,3.794167,1,5
602,10.551675,1,12
603,2.759509,1,4
604,1.124008,1,2
605,20.8128,1,25
606,3.957206,1,5
607,1.960209,1,3
608,1.124008,1,2
609,18.955757,1,21
610,13.918409,1,15
611,26.332078,0,30
612,7.010291,1,9
613,14.557317,1,16
614,16.006326,1,21
615,1.960209,1,3
616,1.960209,1,3
617,24.925314,1,29
618,9.442852,1,12
619,1.855531,1,3
620,3.275383,1,4
621,13.687221,1,17
622,16.22592,1,23
623,12.949752,1,15
624,1.795329,1,3
625,9.98228,1,11
626,4.048141,1,5
627,21.21635,1,27
628,5.959013,1,7
629,13.371709,1,17
630,7.971697,1,10
631,19.56117,1,22
632,5.21198,1,8
633,5.758473,1,7
634,2.04788,1,3
635,7.856616,1,9
636,4.959018,1,6
637,9.288569,1,12
638,1.960209,1,3
639,7.720396,1,10
640,9.716182,1,12
641,8.957162,1,10
642,8.352051,1,10
643,11.923591,1,15
644,13.760871,1,16
645,1.600037,1,3
646,5.955584,1,7
647,2.719346,1,4
648,7.286625,1,10
649,15.15484,1,17
650,7.398991,1,9
651,4.985181,1,6
652,23.759115,1,26
653,4.995011,1,7
654,2.164773,1,4
655,6.807162,1,9
656,9.1237,1,12
657,4.055356,1,6
658,20.949636,1,26
659,16.153849,1,18
660,8.360222,1,10
661,11.206671,1,13
662,0.985098,1,2
663,12.953449,1,14
664,2.398546,1,4
665,1.600037,1,3
666,1.764923,1,3
667,15.607857,1,18
668,4.788703,1,6
669,1.085335,1,2
