#{"t_start": 1776087011.1915166, "env_id": "highway-v0"}
r,l,t
9.00471,11,4606.358996
16.525454,19,4612.957767
19.916184,28,4622.562419
3.760353,5,4624.285336
2.959217,4,4625.712058
8.561286,10,4629.154815
3.557625,5,4630.942345
4.957177,6,4633.047554
4.678578,6,4635.133728
21.962846,30,4645.473971
4.957172,6,4647.602019
8.959012,10,4651.107013
1.985166,3,4652.161457
1.958373,3,4653.223604
7.920462,9,4656.401299
24.226147,30,4666.881696
5.760155,7,4669.340428
3.987594,5,4671.061437
4.761147,6,4673.123263
14.803364,17,4679.015436
11.24483,13,4683.44084
11.959012,13,4688.018193
7.368234,9,4691.09446
19.076489,20,4698.022555
20.839181,24,4706.283049
22.203233,30,4716.646463
1.925144,3,4717.694138
7.607199,10,4721.127084
5.157803,7,4723.559124
6.957162,8,4726.349055
1.960209,3,4727.39654
14.166277,16,4732.96858
3.957198,5,4734.684936
8.800068,11,4738.504595
1.987743,3,4739.574706
10.207664,13,4744.04648
8.959012,10,4747.560653
1.960209,3,4748.618265
3.959047,5,4750.368011
11.88907,14,4755.282464
9.920578,11,4759.213156
15.755958,18,4765.444368
1.276554,2,4766.165519
12.958785,15,4771.422541
6.1694,8,4774.216803
20.058316,24,4782.476483
6.527505,8,4785.29814
5.957164,7,4787.705523
24.784875,30,4798.06303
5.765738,8,4800.844486
9.277087,11,4804.642169
9.781601,12,4808.809406
5.877237,7,4811.254383
10.40501,13,4815.779731
5.53988,9,4818.861989
8.358336,10,4822.343312
2.759115,4,4823.762695
4.005682,6,4825.839036
1.960209,3,4826.882063
8.957162,10,4830.44303
11.955312,13,4834.867191
12.953474,14,4839.707861
11.927176,15,4844.962157
1.855531,3,4846.011517
8.612598,11,4849.799301
3.957198,5,4851.545997
18.997007,21,4858.870023
2.959217,4,4860.334271
1.960209,3,4861.365973
12.411335,16,4866.841172
21.046888,22,4874.424071
7.07425,8,4877.244829
3.957206,5,4878.998173
3.957206,5,4880.720479
9.758308,11,4884.538481
8.929552,12,4888.790865
5.052263,6,4890.92301
14.360572,16,4896.576397
5.55909,7,4899.000929
1.198555,2,4899.708899
7.407984,9,4902.81812
5.757924,7,4905.253252
1.649809,3,4906.326479
3.12055,4,4907.758312
6.123406,7,4910.213257
14.645214,18,4916.393847
7.402241,9,4919.479068
5.003441,7,4921.998539
9.003456,11,4925.789551
5.723446,7,4928.21931
8.756449,10,4931.736323
7.446509,10,4935.176326
5.955059,7,4937.598216
15.266383,21,4944.942917
4.957172,6,4947.018098
5.664133,8,4949.783578
11.362426,13,4954.266695
8.7583,10,4957.696157
1.795329,3,4958.777841
6.385343,8,4961.572903
10.063804,15,4966.748409
14.052263,15,4971.977965
2.759115,4,4973.368512
3.25093,5,4975.116627
8.957162,10,4978.620374
1.960209,3,4979.704857
0.985098,2,4980.415847
6.955058,8,4983.165317
1.960209,3,4984.233121
19.621467,25,4993.031255
22.090612,30,5003.474706
6.20916,8,5006.228915
11.83539,17,5012.115871
2.403409,4,5013.528084
2.054161,3,5014.595795
22.387825,30,5025.066726
2.959217,4,5026.469203
4.758343,6,5028.571985
1.764923,3,5029.606051
3.959047,5,5031.330456
15.254856,17,5037.207044
12.177775,15,5042.35079
12.763981,15,5047.478184
8.525658,10,5050.912513
4.959018,6,5053.026999
9.656393,11,5056.856773
1.960209,3,5057.923041
9.903811,13,5062.371804
5.718549,7,5064.808701
21.72381,30,5075.149706
17.929586,21,5082.382272
6.054113,7,5084.813242
15.351058,22,5092.479053
2.451576,4,5093.908794
2.757291,4,5095.321887
7.074267,8,5098.061694
3.556581,5,5099.81428
3.761176,5,5101.542027
18.754262,26,5110.590734
11.851726,13,5115.098881
6.561456,8,5117.883617
5.39912,7,5120.32814
4.969463,7,5122.785052
14.379856,19,5129.501723
4.764108,6,5131.62314
9.205052,11,5135.508893
5.204512,7,5138.01978
18.3579,21,5145.461974
1.960209,3,5146.521283
5.924557,7,5148.935002
0.989385,2,5149.648724
3.277229,4,5151.063019
1.600054,3,5152.139464
4.955332,6,5154.223202
10.206901,12,5158.443192
22.000648,24,5166.744308
23.308817,30,5177.083546
1.597429,3,5178.132238
8.601809,10,5181.64193
1.764923,3,5182.720422
11.561286,13,5187.18985
13.070287,14,5192.112403
9.201499,11,5195.985625
8.760318,10,5199.518125
10.756068,12,5203.716685
8.163564,10,5207.163424
6.753955,8,5209.962042
3.959047,5,5211.706933
6.293315,9,5214.851224
13.277194,14,5219.673822
1.767153,3,5220.73873
2.647655,4,5222.162062
7.959012,9,5225.296181
19.358895,21,5232.59288
4.760184,6,5234.726082
26.730038,30,5245.061471
9.163592,11,5248.901698
9.558751,11,5252.7841
6.277194,7,5255.176851
5.765957,7,5257.561502
2.989438,4,5258.945781
1.958373,3,5259.991466
4.794138,6,5262.094711
9.199665,11,5265.969806
4.959018,6,5268.025145
7.788723,9,5271.130193
4.758478,6,5273.255858
6.595298,8,5276.107085
3.959047,5,5277.836886
21.57554,25,5286.455401
18.955312,20,5293.346569
12.119067,14,5298.232393
3.204545,5,5299.998783
7.957162,9,5303.108685
2.398565,4,5304.511648
2.398546,4,5305.925063
8.648092,10,5309.435338
19.75212,21,5316.781857
16.380613,23,5324.799621
15.567262,17,5330.719131
8.003433,10,5334.187514
7.959012,9,5337.261692
1.600037,3,5338.313287
27.634399,30,5348.728462
4.957172,6,5350.7885
4.959018,6,5352.857842
11.595268,13,5357.336952
10.407672,14,5362.238449
3.959047,5,5363.964159
1.958373,3,5365.022666
6.193953,7,5367.462449
0.966017,2,5368.169413
1.276554,2,5368.875904
12.855251,14,5373.818031
3.959047,5,5375.535451
8.181903,12,5379.742895
9.796258,12,5383.944361
1.960209,3,5385.014201
2.959217,4,5386.430505
14.955311,16,5392.029842
26.049182,30,5402.674029
10.562447,12,5406.803186
7.754633,9,5409.929953
4.757953,6,5412.021585
14.595484,21,5419.297908
22.546694,30,5429.735799
6.959012,8,5432.522843
11.119706,12,5436.599936
11.875406,13,5441.144553
4.98944,6,5443.240448
2.959217,4,5444.634719
15.758327,17,5450.489356
2.794337,4,5451.875446
13.392849,15,5457.087607
12.383118,18,5463.259847
8.121556,9,5466.421561
6.760318,8,5469.240663
11.844901,13,5473.724441
22.662068,25,5482.347463
1.960209,3,5483.415042
18.953466,20,5490.454007
22.478494,30,5500.76452
15.928573,18,5506.993658
7.050663,8,5509.787886
1.960209,3,5510.818245
3.957198,5,5512.532552
11.760149,13,5517.063198
6.004689,8,5519.812808
1.960209,3,5520.863309
10.407983,12,5525.033912
9.959012,11,5528.841586
16.852185,22,5536.451287
4.760184,6,5538.569256
6.959012,8,5541.334412
3.959047,5,5543.084171
4.959018,6,5545.192426
14.955575,16,5550.750115
0.966017,2,5551.468734
8.559445,10,5554.940335
22.756448,24,5563.268913
7.052263,8,5566.021927
6.765956,8,5723.689413
3.121578,4,5725.103102
24.703223,30,5735.536951
2.987592,4,5736.922168
16.562277,18,5743.155571
8.87779,10,5746.654132
1.958373,3,5747.700177
11.577356,15,5752.921986
1.960209,3,5754.001415
7.788346,9,5757.130266
7.054113,8,5759.900635
14.756078,16,5765.51028
4.764108,6,5767.602884
4.851411,6,5769.744437
16.068504,22,5777.410043
11.596994,13,5781.95554
7.85344,9,5785.034667
7.760149,9,5788.162419
7.159516,9,5791.282723
4.005682,6,5793.322066
7.963029,10,5796.80056
2.759115,4,5798.223385
9.760149,11,5802.009372
8.367463,11,5805.763258
5.556463,7,5808.196673
6.557214,8,5811.015396
1.602273,3,5812.059492
6.957162,8,5814.825479
3.957198,5,5816.555351
9.959012,11,5820.384649
8.955312,10,5823.847861
8.959012,10,5827.320721
14.356494,16,5832.923999
3.957198,5,5834.682104
0.966017,2,5835.384453
2.959217,4,5836.776891
6.76252,8,5839.506387
11.240163,14,5844.359251
4.121551,5,5846.07912
11.922688,13,5850.563828
1.960209,3,5851.60497
7.206908,9,5854.776539
3.957201,5,5856.573558
3.593243,5,5858.278063
1.958373,3,5859.326326
5.959013,7,5861.794947
1.597429,3,5862.848879
13.044874,17,5868.880781
2.41598,4,5870.297451
3.959047,5,5872.041919
10.760149,12,5876.266812
11.955312,13,5880.802304
8.195798,9,5883.925095
2.054161,3,5884.980494
22.522659,30,5895.464878
8.959012,10,5898.903027
6.957162,8,5901.659612
3.593243,5,5903.420988
3.959047,5,5905.146005
13.955312,15,5910.406118
4.959018,6,5912.528237
5.27324,6,5914.63862
20.269476,27,5923.996316
5.207135,7,5926.478916
15.559435,17,5932.339029
9.969337,13,5936.820409
2.448915,4,5938.225555
14.690244,18,5944.487562
13.578883,18,5950.697587
12.048739,13,5955.168541
21.020297,26,5964.048979
22.47595,30,5974.530662
8.121556,9,5977.626458
2.19549,3,5978.686477
2.197804,3,5979.743861
6.957162,8,5982.546129
2.761346,4,5983.925501
7.275348,8,5986.67193
11.697654,16,5992.219013
18.134753,23,6000.306773
10.598854,12,6004.419971
7.953195,9,6007.601868
3.204545,5,6009.372518
4.957172,6,6011.409384
8.957166,10,6014.832126
11.959012,13,6019.395858
22.123406,23,6027.423126
6.757919,8,6030.261531
14.360188,16,6035.750198
26.886043,30,6046.282073
9.959012,11,6050.04521
19.115465,20,6056.912219
16.407876,19,6063.426504
9.360607,11,6067.230193
12.758298,14,6072.108416
4.757953,6,6074.18084
5.959013,7,6076.61016
10.756453,12,6080.789344
3.996581,5,6082.544811
26.251246,30,6092.907121
13.3936,15,6098.11511
5.959013,7,6100.535462
12.959012,14,6105.35193
1.764923,3,6106.414121
5.815215,8,6109.225854
13.652919,15,6114.373989
5.959013,7,6116.762252
11.607926,14,6121.660813
3.526191,6,6123.746469
5.957163,7,6126.175752
1.276554,2,6126.89516
11.759291,13,6131.481755
27.362426,29,6141.814122
2.568289,4,6143.232016
10.178865,14,6148.081267
2.759115,4,6149.449042
12.998785,14,6154.348195
13.195798,14,6159.244441
7.790531,9,6162.332572
4.806818,7,6164.707624
17.224009,23,6172.762021
5.763219,8,6175.527673
0.989385,2,6176.241889
25.222183,30,6186.484748
5.605719,8,6189.284548
2.123509,3,6190.347236
5.760155,7,6192.798777
4.757461,6,6194.910976
19.161358,21,6202.179297
19.765835,22,6209.919706
5.373602,7,6212.348728
4.758484,6,6214.420248
11.004682,13,6218.931392
1.960209,3,6219.963966
1.958373,3,6221.002832
14.936302,19,6227.621184
6.304495,9,6230.768488
0.851926,2,6231.498793
8.403848,11,6235.376908
15.516142,22,6242.896717
14.00383,16,6248.495373
0.966017,2,6249.196063
5.957172,7,6251.57245
12.399982,14,6256.411004
9.461972,14,6261.223958
5.007557,7,6263.671625
5.121548,6,6265.757469
26.997687,29,6275.903306
3.959047,5,6277.692936
4.95531,6,6279.840984
3.123424,4,6281.267364
3.959047,5,6283.046028
3.123424,4,6284.429399
4.957169,6,6286.504669
12.050386,13,6291.038456
2.39591,4,6292.430421
1.597429,3,6293.455413
3.998604,6,6295.560634
4.986004,6,6297.650624
4.595303,6,6299.755233
4.05059,5,6301.471168
7.957162,9,6304.625324
9.957162,11,6308.465528
8.651355,12,6312.658658
9.557382,12,6316.785792
3.121578,4,6318.198466
7.275353,8,6321.003562
6.955328,8,6323.798264
4.054115,5,6325.560134
1.960209,3,6326.635708
5.959013,7,6329.085196
23.959012,25,6337.813897
6.760318,8,6340.583836
10.959012,12,6344.733041
3.204545,5,6346.47568
18.105526,24,6354.769639
1.001855,2,6355.489025
21.010256,23,6363.391469
3.118683,4,6364.82827
7.159295,9,6367.933084
5.373532,7,6370.335634
7.010292,9,6373.431079
11.195799,12,6377.547216
4.957169,6,6379.647088
16.619318,21,6387.047177
4.959018,6,6389.142932
4.957177,6,6391.210941
1.960209,3,6392.269471
8.98944,10,6395.744013
5.957172,7,6398.17356
23.389543,30,6408.660801
4.054115,5,6410.408628
1.960209,3,6411.465976
17.922692,19,6418.003806
1.960209,3,6419.059392
4.959018,6,6421.194447
12.987589,14,6426.05749
6.206929,8,6428.866233
3.959047,5,6430.618075
7.052263,8,6433.369182
11.959012,13,6437.921315
6.054113,7,6440.302173
8.880459,10,6443.762091
3.959047,5,6445.514146
10.277194,11,6449.368768
3.959047,5,6451.088324
13.208373,16,6456.678004
25.682199,28,6466.349726
21.959012,23,6474.23659
7.957166,9,6477.384116
3.794167,5,6479.11262
1.278391,2,6479.815008
0.966017,2,6480.533122
10.957162,12,6484.696449
17.959012,19,6491.359824
12.119969,13,6495.933176
7.757919,9,6499.077613
4.559254,6,6501.163398
5.959013,7,6503.606446
15.955575,17,6509.439631
16.853324,21,6516.812112
2.957377,4,6518.203375
1.960209,3,6519.250614
5.797714,7,6521.688452
1.960209,3,6522.743274
8.957171,10,6526.249664
4.88305,6,6528.356249
4.054115,5,6530.088233
6.195799,7,6532.496323
12.981926,18,6538.65621
6.123406,7,6541.081444
7.959012,9,6544.125654
7.760318,9,6547.294323
14.07463,15,6552.496476
21.955818,30,6562.823985
16.963836,19,6569.465659
8.959012,10,6572.904385
5.603889,8,6575.670707
12.052263,13,6580.186248
3.959047,5,6581.923302
