#{"t_start": 1776087011.1915166, "env_id": "highway-v0"}
r,l,t
13.335073,18,1146.725727
13.702392,19,1153.344805
6.853629,8,1156.143711
1.881614,3,1157.20183
8.327367,12,1161.337759
16.427751,22,1168.945313
1.960209,3,1170.019598
9.656762,13,1174.578429
4.762002,6,1176.674928
5.450369,8,1179.420566
10.293201,14,1184.166948
11.287133,16,1189.853693
0.966017,2,1190.554569
6.360361,8,1193.309188
10.187668,12,1197.497269
12.196779,15,1202.672955
5.128443,7,1205.060884
3.217116,5,1206.793575
16.553236,18,1213.055482
9.551847,12,1217.177051
4.454641,6,1219.246458
18.050487,23,1227.269311
15.6952,22,1234.939552
12.879951,19,1241.567501
11.00698,15,1246.707496
5.205666,7,1249.129963
7.760149,9,1252.229811
14.403953,17,1258.161824
1.121128,2,1258.878772
2.957377,4,1260.268121
9.805467,12,1264.436522
11.628466,16,1269.948739
13.95259,16,1275.474087
3.597888,5,1277.207784
9.755037,11,1280.984027
23.969355,28,1290.580245
8.044179,10,1294.100896
21.576655,26,1303.165174
2.794337,4,1304.560967
5.591838,7,1306.952244
8.899072,13,1311.493007
26.195798,30,1321.946863
12.823755,17,1327.819399
2.599059,4,1329.215573
9.513137,13,1333.715783
4.800504,7,1336.158891
1.048632,2,1336.868206
23.22887,30,1347.325121
3.758513,5,1349.069879
3.794167,5,1350.814135
7.530233,9,1353.929903
2.759509,4,1355.338539
2.985178,4,1356.791152
9.951898,11,1360.580711
10.324853,14,1365.395053
7.493173,11,1369.185012
6.45231,10,1372.677851
3.957198,5,1374.429106
12.792387,15,1379.600593
18.876869,22,1387.272271
7.553246,9,1390.393024
7.722079,9,1393.475209
12.481971,18,1399.682779
27.122696,30,1410.138706
4.800545,7,1412.566205
20.891012,30,1422.941648
8.664839,13,1427.472764
5.756074,7,1429.898165
2.403409,4,1431.297898
15.799184,19,1437.86162
21.497944,30,1448.192449
6.044288,7,1450.65676
5.55962,7,1453.146511
4.957177,6,1455.222041
16.337733,22,1462.973567
1.960209,3,1464.010136
10.370637,13,1468.411665
12.203841,14,1473.213137
1.764923,3,1474.292625
19.085183,23,1482.244133
6.765956,8,1485.04467
7.354384,9,1488.175768
4.359125,6,1490.267212
5.754246,7,1492.688521
2.075449,3,1493.751438
14.704925,18,1499.93776
2.401174,4,1501.340395
13.407765,16,1506.898544
5.603511,8,1509.701487
2.454198,4,1511.080319
1.960209,3,1512.145104
23.902612,30,1522.561912
4.201323,6,1524.664386
2.757267,4,1526.086123
5.810923,8,1528.858025
8.082145,10,1532.270014
24.743466,30,1542.590836
13.62963,20,1549.522997
16.618914,20,1556.482256
15.890215,21,1563.646664
6.247315,9,1566.800804
3.199682,5,1568.522828
1.960209,3,1569.563509
16.528038,23,1577.534558
11.567098,14,1582.460539
21.296303,30,1592.823692
3.957206,5,1594.534755
24.899405,30,1605.068913
3.957206,5,1606.765282
10.555626,12,1610.921458
3.275383,4,1612.34865
5.957172,7,1614.777504
5.198408,7,1617.188044
2.9307,5,1618.956637
3.19606,5,1620.679031
3.31941,5,1622.436432
18.496967,23,1630.393176
5.597027,7,1632.823102
8.394563,10,1636.283266
1.597429,3,1637.342873
3.486514,5,1639.085533
5.325289,8,1641.826085
8.471787,13,1646.264066
9.758296,11,1650.179334
9.037009,13,1654.564889
