episode,reward,crashed,length
1,13.619376534302813,1,19
2,7.685060862164889,1,10
3,21.41326741161986,0,30
4,22.676009844535017,0,30
5,2.7591154181621453,1,4
6,3.557624920501958,1,5
7,12.952881066130205,1,15
8,4.001601302190288,1,6
9,7.552754918713453,1,9
10,21.806915764175834,0,30
11,8.9353276582149,1,13
12,1.9602091714909529,1,3
13,3.764141156259206,1,5
14,5.36039023809878,1,7
15,4.9190353959099955,1,7
16,1.2765543816746459,1,2
17,10.976408324842273,1,15
18,6.956013341913812,1,9
19,5.487543142954354,1,8
20,19.032980589997447,1,27
21,14.184303710607216,1,19
22,7.6137373364141006,1,11
23,2.3989273212049906,1,4
24,21.694261786907518,1,28
25,13.210309895663714,1,17
26,2.477147172695015,1,4
27,2.9659090909090904,1,5
28,20.84775652898768,0,30
29,14.965287160891515,1,19
30,8.798493359202944,1,11
31,1.7671529078868469,1,3
32,3.7593386857253077,1,5
33,21.636434361692324,0,30
34,9.885096263757307,1,13
35,2.5660591737676812,1,4
36,19.70626561025036,1,27
37,4.796609571487788,1,6
38,9.573936309640755,1,12
39,6.1277452792614,1,9
40,9.780025221957635,1,15
41,3.9550916435570764,1,5
42,12.9782243639558,1,18
43,23.664015327469997,0,30
44,1.9602091714909529,1,3
45,4.192790194883961,1,6
46,20.828721644054422,1,28
47,14.931074681675806,1,19
48,19.414587662752506,1,28
49,17.423594499502695,1,24
50,19.930787874961116,1,29
51,5.792283465835485,1,7
52,0.9850976595546611,1,2
53,3.202309897675814,1,5
54,17.2372755017353,1,21
55,19.41341860395727,1,23
56,1.7649228101313175,1,3
57,4.75610414980419,1,6
58,21.69641542157323,0,30
59,11.703324791847052,1,17
60,10.754331413508652,1,12
61,6.354741338470613,1,8
62,6.924917366948821,1,10
63,16.801767160247252,1,20
64,2.164772727272727,1,4
65,2.9636735340394504,1,5
66,2.4011735340394504,1,4
67,1.4829545454545454,1,3
68,11.55576759723815,1,13
69,2.7959709054614765,1,4
70,14.889135146233652,1,19
71,25.775462379126907,0,30
72,2.7943365791981405,1,4
73,21.32295380416713,0,30
74,7.181907562861751,1,11
75,12.013486262042157,1,17
76,12.22479140071408,1,18
77,10.650714843137113,1,15
78,2.395910266581573,1,4
79,2.2818724057897204,1,4
80,6.917266692620368,1,9
81,3.7562824772575865,1,5
82,12.974046407519849,1,18
83,22.816774376847533,1,28
84,8.59920884708734,1,10
85,5.477450543636659,1,7
86,2.682750496507511,1,4
87,6.360226142264062,1,8
88,22.339900480237745,0,30
89,2.5642135175608773,1,4
90,2.5894277984820833,1,4
91,3.364987613054878,1,5
92,13.15693631391716,1,18
93,6.399815485450919,1,9
94,5.571645133062447,1,9
95,8.25816911367098,1,12
96,4.524709266120984,1,7
97,17.88098367602236,1,26
98,14.965538368414848,1,19
99,5.016296930738136,1,7
100,18.777779677822874,1,24
101,26.52681335336503,0,30
102,6.886106529836624,1,9
103,4.969462719480052,1,7
104,10.847744392533176,1,15
105,19.273696474565202,1,25
106,17.100543869790165,1,21
107,1.9583725634928275,1,3
108,9.012404011848382,1,13
109,9.559435729233783,1,11
110,2.957376534134098,1,4
111,3.6116946732300192,1,6
112,1.9583725634928275,1,3
113,1.7649228101313175,1,3
114,8.99840018293727,1,11
115,7.324480158443099,1,10
116,7.7560684343293165,1,9
117,20.845989715572287,1,26
118,4.045176752246908,1,6
119,7.752653405084013,1,9
120,11.46046173125173,1,17
121,15.18669263474286,1,16
122,22.476627011273617,0,30
123,2.6012803155940354,1,4
124,8.334250546525,1,12
125,1.1985551664893401,1,2
126,1.7649228101313175,1,3
127,21.110919197406094,1,28
128,4.764116164201587,1,6
129,7.197547097438847,1,9
130,5.615041080351702,1,8
131,14.99712038894562,1,18
132,7.953198389304644,1,9
133,18.201293824785022,1,21
134,20.374870548002463,1,22
135,1.9602091714909529,1,3
136,7.362427278052968,1,9
137,11.843637319790139,1,17
138,16.57682851261191,1,22
139,13.169391404982255,1,17
140,3.0514134084575497,1,5
141,1.9583725634928275,1,3
142,3.082991715857632,1,5
143,2.761345535127316,1,4
144,3.5584270840175805,1,5
145,9.66827791424867,1,14
146,3.4075139079838523,1,5
147,15.476031255515625,1,22
148,5.95321715276183,1,7
149,5.067676689379176,1,8
150,24.921024972499367,1,29
151,7.9590122436400925,1,9
152,7.313543102743613,1,11
153,7.358341484389662,1,9
154,15.245277279832898,1,18
155,1.7649228101313175,1,3
156,10.477039095790516,1,13
157,7.157769417621965,1,9
158,10.481739516367364,1,12
159,20.920210147396325,1,28
160,1.9602091714909529,1,3
161,7.007821560894143,1,9
162,24.142116937040143,0,30
163,9.191626989653521,1,11
164,9.404028937769574,1,11
165,2.5990593639587067,1,4
166,16.63604522349079,1,20
167,17.87711863988915,1,25
168,4.5574194479557875,1,6
169,7.267416893304586,1,11
170,12.849960388260168,1,14
171,1.1240078551770405,1,2
172,6.357495571106889,1,8
173,6.335379901392479,1,10
174,5.201327127947991,1,7
175,4.957168006567855,1,6
176,3.5284090909090904,1,6
177,4.388575496300277,1,6
