seed,gamma,mean_reward,variance,std_dev,crash_ratio,timeout_ratio
0,0.8,12.498315004673222,61.791001866770856,7.860725276128842,0.9,0.1
1,0.8,13.570940221872608,51.33347127748513,7.164738046675896,0.76,0.24
2,0.8,11.988543923953666,56.29318701053326,7.502878581620075,0.88,0.12
0,0.99,20.298771841476484,5.49256824332578,2.3436228884626,0.02,0.98
1,0.99,17.532078669570677,38.67151331767721,6.218642401495459,0.32,0.68
2,0.99,20.060547731108826,6.8803493675966445,2.6230420064491238,0.04,0.96
